Episode Reward,Penalties,Simulation Steps,Validation Reward,Distance Travelled
-18.157680094521794,-20,7,-14.83934196002075, 0
6.419213058820443,-20,9,-14.83318775545067, 0
-15.36707540685228,-20,3,-12.252252601789142, 0
-1.2135331118117847,-20,9,-12.233871361041043, 0
-0.04915742379013466,-20,9,-14.836663313842644, 0
-0.27840659252726496,-20,8,-12.251132099631391, 0
-17.69931776087006,-20,2,-12.251691666579447, 0
1.199301156313318,-20,10,-12.198358668056816, 0
-10.70091684465121,-20,5,-14.83237994769263, 0
-17.692620141058214,-20,2,-14.836962608835659, 0
1.2149942678634993,-20,10,-5.893430441097024, 0
-0.04946532406515658,-20,9,-14.819650000993215, 0
1.2146285381190438,-20,10,-12.252218163554438, 0
-13.017975793892738,-20,4,-5.901652663147436, 0
-13.019032450442932,-20,4,-12.234887611822252, 0
-1.1860391645630415,-20,9,-5.898794625434263, 0
-13.01824868156464,-20,4,-12.19749450634962, 0
-10.694027730083851,-20,5,-12.252821306352244, 0
-10.626214541263687,-20,5,-12.236876006432361, 0
-17.698713462381512,-20,2,-12.252946198669985, 0
-10.702653840263988,-20,5,-12.255211831517416, 0
-17.692620512179253,-20,2,-5.902375733362899, 0
-5.922308825691928,-20,7,-14.836991349682055, 0
-17.699363255900884,-20,2,-14.833089694158542, 0
3.165585742027318,-20,9,-5.900398534224559, 0
1.2503930367988474,-20,10,-12.25338196317259, 0
-1.1776318485800736,-20,9,-14.831756584151984, 0
-0.3038641356381575,-20,8,-14.819650000993215, 0
-13.0186763872341,-20,4,-12.199654273847601, 0
-8.302205386846431,-20,6,-12.237172399293346, 0
2.253396163921952,-20,10,-12.237611961835912, 0
-10.693606140693483,-20,5,-5.9022183689187475, 0
-17.698914603461766,-20,2,-14.819641626701411, 0
-12.989059065416189,-20,4,-12.198425551024794, 0
-0.27432854912730775,-20,8,-14.833119709816359, 0
1.218140415876693,-20,10,-14.837126530571318, 0
-17.698739213928633,-20,2,-14.819569702487302, 0
3.162528654616562,-20,9,-12.236920027799528, 0
3.1344856811085187,-20,9,-12.236481335936787, 0
-1.2079263869423258,-20,9,-14.831683210018848, 0
3.13009618981814,-20,9,-12.233873312678945, 0
-10.692601333324161,-20,5,-14.836570650917732, 0
-1.0685201346132445,-20,9,-12.234522526003513, 0
-1.0637398720997915,-20,9,-12.252913013496114, 0
18.203201248815958,-20,12,-14.832668018557552, 0
-0.30091820127917757,-20,8,-12.235884188915588, 0
-17.698818001676674,-20,2,-12.252771976973662, 0
-1.1989013936737827,-20,9,-12.253298856105104, 0
-8.297360328188134,-20,6,-12.25465382806073, 0
-17.692663587003896,-20,2,-12.234873594208405, 0
