Episode Reward,Penalties,Simulation Steps,Validation Reward,Distance Travelled
-15.62714469043025,-20,15,20.55467683758537, 0
-19.76516848046584,-20,5,19.74878047219231, 0
-11.600932229248016,-20,21,-5.564847826806304, 0
-15.900875073862192,-20,23,-11.014839350187689, 0
-16.32311965263919,-20,21,-14.065784436566629, 0
-17.265585014884685,-20,7,58.17493939068402, 0
-14.968839467157347,-20,48,-18.44909176882592, 0
-19.408730456776606,-20,3,-16.894735464585967, 0
-15.788407999360455,-20,5,-16.901626353188604, 0
-18.068838967286567,-20,20,14.203007132138392, 0
-14.225839924287534,-20,21,26.2074099947186, 0
-6.841054579979662,-20,31,-17.17027786059912, 0
-17.9727279528953,-20,7,-17.745387866074037, 0
-13.535973310085064,-20,25,-15.039643496190731, 0
-15.52822504184686,-20,16,-17.797670259256154, 0
-16.034275089843348,-20,15,-18.905214541982843, 0
31.768376604482654,0,83,-17.216296997069264, 0
-16.60213041951473,-20,9,-16.653724136253917, 0
-16.1387118483314,-20,7,-16.7647803164746, 0
-17.187752509493066,-20,7,-17.749588461448894, 0
-17.820287192431973,-20,8,-17.750444260701176, 0
14.543738188040969,0,50,23.251519938682023, 0
23.603296193415698,0,50,25.634880505692575, 0
12.241330743308023,0,50,-2.344908722383181, 0
15.940369059186256,-20,41,-7.036467341470477, 0
21.61184542044717,0,50,26.674881435522146, 0
26.90340083224714,0,50,-17.898981972826594, 0
-12.774207437121206,-20,14,-17.906149833666024, 0
-8.274055661081608,-20,18,-16.33927702994498, 0
79.72570584370588,0,84,-18.44884359847274, 0
21.43034945309553,-20,49,-17.892321332589447, 0
-14.485383755248357,-20,13,-19.436370971760073, 0
24.403677851351333,0,50,-15.142386773331342, 0
7.169021951898042,-20,43,-17.905070663240863, 0
4.2652750386764,-20,41,-16.90813530181998, 0
12.08689162026932,-20,28,-15.33001700433795, 0
-14.088462323561313,-20,11,-16.359443055228606, 0
45.17067322573707,0,50,-15.328160051054638, 0
29.590560120507927,0,50,-18.43695501132609, 0
