Episode Reward,Penalties,Simulation Steps,Validation Reward
0.2956439414793904,0,2,80.72311148248106
11.054639103090608,-20,24,1.3239291452690765
-13.431378998442375,-20,9,1.298273435562054
-18.165695427465387,-20,7,105.97386535374677
-19.104589882010405,-20,4,104.5126915213029
-17.30211930652953,-20,10,-5.394041407946403
-16.241470115593152,-20,7,-4.062573028172961
52.78264707536527,0,50,-2.0242295117052445
12.311566061619121,-20,18,-2.0231315166625032
-18.803786710875073,-20,5,1.3706281815064276
0,0,1,1.32572231230386
-10.523726653621743,-20,12,8.16506732138658
-18.15745244694556,-20,7,47.231713550761285
0,0,1,1.306478975264616
6.3301967439595614,-20,15,-4.0521790844494046
55.861917702433665,-20,40,68.80140947052767
22.165489148614974,-20,19,17.79548070699226
53.39953003451884,0,50,4.629172305413752
-17.693873274298262,-20,2,1.3706798297584903
-17.4138760658321,-20,3,44.80122666846614
10.188124528786872,-20,16,7.936692892836589
0,0,1,61.05925906129485
5.833134743024001,-20,16,1.368007028116466
77.82232785157612,0,50,1.322903548806389
10.974661523934767,-20,16,10.872862872955952
32.93394270297941,-20,27,-4.034560298752252
6.686206669571433,-20,21,24.773146494424644
62.515440675899114,-20,39,44.516374459775676
0,0,1,55.81649905148963
-8.133722131757658,-20,7,-2.0141548510695717
9.749958906952951,-20,36,-2.02470261036318
67.86499577239113,0,50,14.936742834372577
26.670917766397565,0,50,1.3252220937871435
0,0,1,85.29836384418638
48.05959841289782,0,50,36.24118378956075
36.61010106628724,-20,37,29.500766381025798
-15.369061144693646,-20,3,9.266353765847366
32.72205568057939,0,50,11.272134846554678
-18.265296267021764,-20,7,8.05304994565481
36.7588854754176,-20,48,1.3255544469074625
-19.426654523949804,-20,3,-2.035734684025938
-18.561381208444004,-20,6,26.159312670216607
58.082180663338164,-20,37,11.273006458911517
-9.514010454300776,-20,16,-0.710794195757293
0,0,1,2.617257777110302
0,0,1,6.075957305031608
38.67785877360964,-20,44,31.20508201347014
52.80779514871028,0,50,12.932469488768596
5.227808577203369,-20,16,1.3717026907490588
79.63004149120941,0,50,-2.035668594682347
50.72772212668379,0,50,31.423568206245918
-14.73832284446258,-20,5,1.3039828457229952
32.34629518569491,-20,41,31.58690903550263
23.24456240398253,0,50,1.3736197361994442
73.85205476371192,0,50,38.05924550973547
0,0,1,11.241412230531225
40.99025883195708,-20,45,31.45876902743295
-12.42807070982845,-20,6,8.058040441973972
21.283777710127953,-20,28,31.514873521615506
-17.700880361098605,-20,2,4.612808464172833
17.639216742001846,-20,32,-2.014715687425195
0,0,1,14.556902399183425
81.00605887020245,0,50,31.53784678120177
0,0,1,8.17060198023497
0,0,1,1.3727859437790784
0,0,1,-2.01458039138923
0,0,1,7.966220137661555
61.508384384554866,0,50,1.374534098310905
0,0,1,-2.0139681802755787
94.311737216797,0,50,-2.015014563343006
74.96620466693813,0,50,4.629269343847026
4.673745675792393,-20,27,17.859209046909402
-17.71187020364116,-20,2,173.50344482528834
0,0,1,-2.0356527475570703
-17.7007709615937,-20,2,72.16244168044513
-17.71306368367085,-20,2,2.5773703065092217
0,0,1,108.26230192656168
-17.707360641401205,-20,2,272.53052263609266
63.729960657842135,0,50,1.37257330796713
