#{"t_start": 1718225542.3209193, "env_id": "None"}
r,l,t
30.0,18,28343.480865
-22.0,11,28430.482404
94.0,27,28565.494745
318.0,56,28629.354787
306.0,54,28691.164899
274.0,50,28748.461395
-70.0,5,28754.822355
306.0,54,28816.641069
298.0,53,28877.362889
30.0,18,28898.46775
30.0,18,28919.484215
64.0,23,28946.155371
34.0,22,28971.796523
26.0,18,28992.905899
-28.0,10,29004.863333
212.0,42,29053.170312
-22.0,11,29066.311841
-22.0,11,29079.478973
52.0,21,29104.049448
22.0,17,29123.892626
-22.0,11,29137.095416
-6.0,13,29152.475
-8.0,13,29167.837868
-22.0,11,29180.950149
-22.0,11,29194.168522
-22.0,11,29207.291212
-22.0,11,29220.420071
36.0,19,29242.446277
-6.0,13,29257.778175
300.0,55,29320.76409
-8.0,13,29336.340743
-22.0,11,29349.477331
146.0,34,29388.706102
34.0,22,29414.457312
328.0,57,29479.89833
-8.0,13,29495.238937
306.0,54,29557.063745
-22.0,11,29570.188277
264.0,52,29630.021375
212.0,42,29678.46289
-8.0,13,29693.884268
-22.0,11,29706.920681
30.0,23,29735.075438
44.0,20,29758.520163
-8.0,13,29773.916159
222.0,43,29823.404966
-16.0,15,29840.913345
50.0,21,29865.418397
-70.0,5,29871.788333
-22.0,11,29884.965134
-22.0,11,29934.481304
88.0,26,30143.482295
20.0,17,30277.48134
42.0,20,30434.482276
270.0,53,30845.482038
102.0,28,31062.480978
-22.0,11,31150.479449
56.0,22,31317.48111
50.0,21,31483.481338
50.0,21,31642.481465
78.0,25,31829.480911
36.0,19,31890.809427
320.0,61,31960.651421
50.0,21,31985.088554
70.0,24,32014.232627
50.0,21,32038.703119
124.0,34,32078.062457
30.0,18,32099.137546
70.0,24,32126.917349
-8.0,13,32142.21608
70.0,24,32171.641728
50.0,21,32196.021215
56.0,22,32221.654572
56.0,22,32247.257997
48.0,21,32271.899595
36.0,19,32294.179492
64.0,23,32320.950012
100.0,28,32353.200589
56.0,22,32380.017064
14.0,16,32398.858446
36.0,19,32421.0027
56.0,22,32446.427311
30.0,18,32467.368072
28.0,18,32488.431138
-22.0,11,32501.510774
-26.0,11,32514.65783
238.0,46,32567.355738
232.0,45,32618.838932
42.0,20,32642.094954
96.0,29,32675.455385
56.0,22,32700.882241
56.0,22,32726.552929
-22.0,11,32739.693297
6.0,15,32757.389899
42.0,20,32780.733044
218.0,43,32829.975359
52.0,21,32854.413666
-8.0,13,32869.701237
208.0,42,32917.876628
30.0,18,32940.150769
-22.0,11,32953.281202
306.0,54,33015.290162
186.0,40,33061.202132
180.0,38,33105.284943
-22.0,11,33119.740571
254.0,49,33175.937947
274.0,51,33234.2933
256.0,49,33290.740625
140.0,33,33330.197227
242.0,47,33384.402764
