Episode Reward,Penalties,Simulation Steps,Validation Reward,Distance Travelled
4.319912706425764,0,14,101.72113544124366, 0
1.1878869528590705,-20,72,99.72436145852932, 0
-5.812649128455396,-20,47,-7.342879247619086, 0
0,0,1,-7.342232447225617, 0
-19.360851049801777,-20,3,-3.3442862361066448, 0
0,0,1,0.044217585116667735, 0
-19.354031847551937,-20,3,0.012311196576723304, 0
0,0,1,-3.3199167329143684, 0
-10.712759931981445,-20,5,-3.3325776074140805, 0
6.803634151919649,-20,37,-1.5924977180630275, 0
12.991033919882845,-20,51,-3.3219126133697117, 0
32.95509463258708,-20,62,-0.6758677660807688, 0
0,0,1,-3.3395130382080023, 0
0,0,1,3.3603469418363634, 0
4.915801199580574,-20,20,-3.333184846046974, 0
0,0,1,0.0475836336199027, 0
-10.603007519436396,-20,11,-3.325291765255848, 0
0,0,1,-3.3243252045088463, 0
0,0,1,-0.005009788615002009, 0
0,0,1,-3.3244671099241545, 0
6.578751624627291,-20,14,-3.322536654400672, 0
45.921218186357414,-20,43,6.193311980754405, 0
-2.978890540556062,-20,10,-0.625010617564234, 0
13.665961454379477,-20,24,40.817421613991144, 0
14.292014661831377,-20,20,-2.0053305941644792, 0
-10.662258685634889,-20,5,-3.33336923488954, 0
0,0,1,-3.3333720048199593, 0
-17.699149072951496,-20,2,-3.3338569258292914, 0
4.10871239513083,-20,12,2.6651746447903513, 0
0,0,1,-2.011740882624925, 0
76.96400128538566,-20,52,-2.016238002891802, 0
0,0,1,32.99057466454427, 0
-17.404437338079227,-20,3,8.672489343554105, 0
0,0,1,-2.0002318112614113, 0
40.08483853092832,-20,33,13.315849477494638, 0
28.315535178480395,-20,32,10.00515579810564, 0
8.987236146644968,-20,22,-1.998272200246916, 0
32.642323358039825,-20,30,1.30750563600526, 0
0,0,1,6.721932952773422, 0
30.703305465899835,-20,25,13.93520911695548, 0
28.00355517315289,-20,35,4.63650612515405, 0
0,0,1,24.16548706022403, 0
0,0,1,2.6524764989090475, 0
38.97907925759377,-20,32,7.964618631672234, 0
68.38611118884114,0,50,6.661953114338388, 0
0,0,1,3.9845710858341086, 0
0,0,1,1.323320083798114, 0
41.6337075878497,0,50,4.649468842007806, 0
41.94194695914413,0,50,3.3199081755487327, 0
31.442979010426512,0,50,9.96152248398396, 0
0,0,1,9.961668070024682, 0
49.8631394584192,0,50,6.663341243199756, 0
111.2065203428088,-20,65,23.26120418076745, 0
80.6627574428361,0,50,23.28569684323793, 0
6.624325732064385,-20,15,3.333309243581798, 0
0,0,1,3.3329260014793576, 0
92.53014648594619,0,50,23.43815953479524, 0
10.673642069463138,-20,16,33.342513633594855, 0
0,0,1,33.34506623530124, 0
-18.162214206014443,-20,7,14.634677058520346, 0
79.40321873589778,0,50,15.3197665662127, 0
58.75346257723665,-20,43,13.33858739706939, 0
0,0,1,46.659741516985534, 0
53.660870670884655,0,50,6.663135583040294, 0
0,0,1,15.950639739530285, 0
0,0,1,3.987711598356025, 0
69.62477074310164,0,50,-0.002932937142626102, 0
86.99432999958937,0,50,30.218391243492697, 0
88.43659116142193,0,50,183.65774444092312, 0
98.05383499317378,0,50,49.35767604169624, 0
42.92304236707989,-20,36,35.60874199421974, 0
-19.710032851140394,-20,2,35.54065835060823, 0
0,0,1,36.85985029577784, 0
39.215531881316274,0,50,129.05383188337032, 0
0,0,1,240.47099387860976, 0
-19.119964473710443,-20,4,129.58200468308988, 0
0,0,1,124.1007858234655, 0
75.14288124923807,0,50,2.6570559543724634, 0
68.57043538872404,0,50,19.97326466963622, 0
0,0,1,2.6600770386153076, 0
0,0,1,16.633124326649522, 0
58.09718344526504,0,50,9.982989619201113, 0
58.92926917748926,-20,43,57.06794294085876, 0
0,0,1,23.44453986763152, 0
51.40438307235744,-20,33,14.81174177591862, 0
75.52506309963849,0,50,146.67487927436562, 0
101.68453477078366,0,50,9.303079077568036, 0
-10.744799356171416,-20,5,8.081749972007557, 0
0,0,1,5.971060244667356, 0
48.78180354025619,0,50,16.614865791755147, 0
78.98934534022926,0,50,9.98101690639977, 0
0,0,1,9.980787914565756, 0
0,0,1,9.980626614719473, 0
0,0,1,49.80195100585507, 0
0,0,1,30.257095513780243, 0
0,0,1,49.794873505721384, 0
85.43473290586097,0,50,22.863376874659657, 0
78.48540326260935,0,50,13.971645313886274, 0
140.8969848975924,0,70,25.572682597114394, 0
86.51721526786015,0,50,11.344927821796208, 0
81.61978618335371,0,50,219.19299070511443, 0
75.95086712109403,0,50,256.46898965931854, 0
60.991550019139915,0,50,115.51055062591057, 0
0,0,1,45.94130334257955, 0
57.75831329101896,0,151,127.99465843831254, 0
0,0,1,13.50140614486357, 0
-13.788138317811235,-20,21,6.761332582766709, 0
0,0,1,6.648462134310638, 0
73.99895630859368,-20,43,3.335218188589831, 0
80.74962069366575,0,50,10.191702861232422, 0
0,0,1,10.164351564454627, 0
0,0,1,3.430598493073827, 0
0,0,1,-3.3338250969038405, 0
0,0,1,1.3298137010843742, 0
0,0,1,-3.3339276553588206, 0
20.83542190064139,-20,37,1.41112457814247, 0
-19.69821430913649,-20,2,10.267741921970647, 0
-19.692698316791372,-20,2,3.3318107137465134, 0
-14.61950107692904,-20,18,1.3264948208530498, 0
-18.76878701635846,-20,5,11.499883918876854, 0
78.78010725522184,0,155,11.523236597328474, 0
-6.51302583933664,-20,45,13.320263918397476, 0
49.93145943332642,0,153,6.84953636693195, 0
-19.698321253061582,-20,2,0.0521390043822656, 0
-19.697784348915636,-20,2,-3.3330449056882774, 0
0,0,1,-4.0035546094697345, 0
0,0,1,0.049401250477593805, 0
57.62491610195663,-20,36,3.3608219779374267, 0
0,0,1,-3.3331000315895807, 0
-12.990301664123775,-20,4,-3.336709857125225, 0
0,0,1,-3.320039381621168, 0
41.00139464077121,-20,28,-3.336090248729442, 0
73.1607464136626,0,50,0.05243844595644376, 0
-12.521486877835127,-20,19,0.043998121333949314, 0
0,0,1,-3.3321213285825078, 0
0,0,1,-0.00311971990185711, 0
0,0,1,0.04970995940813516, 0
0,0,1,3.3648909007016066, 0
0,0,1,-0.00447135591928749, 0
47.981936894813394,0,50,-1.9422073401902296, 0
-8.863994906621826,-20,18,4.549752524130961, 0
0,0,1,-2.001416645479811, 0
40.51377325214453,0,121,-5.32983293544155, 0
0,0,1,-6.014065290473081, 0
7.85278237076318,-20,18,51.15127343934977, 0
-18.77854894152699,-20,5,1.1476553615819096, 0
-18.97106929399467,-20,4,5.6947460815252615, 0
0,0,1,-5.9827021105089715, 0
-6.3813291023841945,-20,44,11.022014959035385, 0
89.52225572782363,0,50,-2.1204706631010692, 0
-13.8588149904737,-20,21,1.787902113004158, 0
