#{"t_start": 1719418389.308234, "env_id": "None"}
r,l,t
-79.094963,10,3287.48388
-136.0,12,3303.36717
-163.0,18,3326.459935
-136.0,12,3342.575807
-136.0,12,3358.708334
-154.0,16,3379.48304
-136.0,12,3396.534197
-136.0,12,3412.747407
-136.0,12,3428.876836
-136.0,12,3444.798455
-136.0,12,3460.722927
-136.0,12,3476.63688
-136.0,12,3492.537845
-427.0,106,3636.50756
-136.0,12,3660.140706
-72.531723,9,3672.652939
-72.365593,9,3685.286604
-113.531723,20,3710.499568
-201.38047,51,3775.066143
-72.383141,8,3787.905445
-95.382568,12,3803.596654
-72.38295,8,3815.099324
-72.38047,9,3827.776248
-81.38047,11,3842.779588
-91.090004,14,3861.068259
-72.377228,9,3873.600408
-72.38047,9,3886.520388
-72.38047,9,3898.938399
-114.38047,23,3929.729082
-55.38047,4,3936.125317
-72.378944,9,3948.881426
-81.377228,12,3965.185223
-75.38047,10,3979.098266
-79.108505,10,3992.665567
-72.531723,9,4005.161249
-114.531723,23,4034.38434
-81.38047,11,4051.003082
-72.38047,9,4063.90185
-72.383141,9,4076.838993
-72.377228,9,4089.742505
-113.531723,20,4116.102311
-105.365593,19,4141.520241
-75.38047,10,4155.880102
-72.383141,9,4168.632872
-109.0,3,4173.774382
-72.378944,9,4186.72123
-72.374557,9,4199.750159
-102.389626,19,4225.339851
-72.37532,9,4239.58292
-78.383141,10,4253.831482
-96.389626,17,4276.716727
-72.383141,9,4289.955029
-78.531723,10,4303.912086
-78.375893,11,4319.730102
-84.531723,13,4337.5941
-72.374557,9,4350.3726
-72.531723,9,4364.226589
-101.375893,16,4385.314326
-72.38047,9,4398.075535
-72.374557,9,4410.761795
-81.365593,12,4427.504242
-72.38295,9,4440.663322
-72.531723,9,4453.458106
-72.377228,9,4466.615402
-75.531723,9,4479.641848
-81.38295,11,4495.0323
-78.377228,11,4511.682258
-78.37532,11,4527.513877
-72.38295,9,4540.511141
-87.379707,14,4559.865052
-72.365784,9,4573.008238
-72.389435,9,4586.289261
-172.0,23,4616.195469
90.714706,7,4626.436649
-301.457146,69,4715.258513
-145.666,19,4741.473948
-202.0,29,4778.354559
-136.336815,11,4793.346506
43.732445,6,4802.400068
-193.461723,35,4847.362701
-96.594093,2,4851.356927
-93.426796,3,4856.579443
-109.0,3,4861.767678
6123.072311,138,5036.979358
266.729774,11,5053.588409
-93.449684,3,5058.773582
-328.0,74,5153.450046
-262.0,52,5220.660033
-181.382019,27,5255.656326
-397.520088,100,5383.249681
-283.318123,62,5462.365588
-232.382973,44,5518.673043
831.0,33,5560.828064
-96.7854,2,5564.841661
-130.328232,11,5580.094248
-466.0,119,5730.75007
-316.398613,70,5820.216195
5109.859283,117,5968.588479
-163.398613,21,5996.114049
-262.398613,52,6063.179828
-133.0,11,6078.387114
-96.556328,2,6082.502191
-93.495842,3,6087.954537
-148.0,14,6108.266578
-208.325943,35,6153.491041
-96.560905,2,6157.503356
-445.39785,112,6299.666806
-93.493744,3,6306.272673
3192.919769,74,6400.927593
-472.0,116,6548.314383
-96.82679,2,6552.360015
-424.460197,110,6691.909413
-139.679924,15,6712.174965
-130.516464,11,6728.520529
6074.386093,136,6900.423141
-328.0,74,6997.032411
-96.573494,2,7001.250944
43.704979,6,7010.212452
-418.0,104,7142.536621
-403.0,90,7258.02739
-79.0,9,7271.052054
-334.0,73,7365.359931
-93.465324,3,7370.696791
-87.356056,12,7387.275615
163.601387,10,7402.213007
-181.328613,28,7438.645754
-115.0,5,7446.564482
310.723671,12,7462.921291
-79.0,9,7475.873861
-130.0,24,7507.327647
-336.524452,47,7566.908858
-72.920227,10,7582.848146
36.438713,5,7590.800135
-447.0,145,7772.979244
-370.0,84,7882.296748
-468.0,144,8064.773778
-97.005508,2,8068.822386
-93.476578,3,8074.220622
1391.726913,35,8120.623224
-418.682785,99,8250.159028
-93.453117,3,8256.737901
-154.382973,15,8277.015776
-93.492409,3,8282.279822
-85.0,11,8298.091756
1160.399063,31,8338.352783
-450.0,142,8519.814942
-441.0,141,8701.76012
-313.0,66,8789.196369
-97.009705,2,8793.265775
-490.456192,127,8957.420862
-373.328804,92,9078.244164
43.732254,6,9087.598079
-511.0,128,9254.953341
-301.144554,67,9343.571041
-382.0,91,9462.33639
-444.0,143,9645.929041
-217.0,35,9691.452067
43.725769,6,9702.198211
-96.568535,2,9706.338723
-226.0,39,9757.116813
1635.729965,40,9809.225692
